sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
103,Male ponte,Croatia,9.4.2007.,2007-04-09,"1 m, 1 f, 1 juv",3,Leptonetidae,Sulcia,nocturna,Sulcia nocturna,,42.761389,17.430786,,deep cave,#N/A
104,Špilja kod Nerezinog dola,Croatia,7.4.2007.,2007-04-07,"1 m, 3 juv",4,Leptonetidae,Barusia,maheni,Barusia maheni,,42.758378,17.436094,tf,deep cave,#N/A
105,Špilja u Solinama,Croatia,11.4.2007.,2007-04-11,"1 m, 1 f",2,Leptonetidae,Barusia,maheni,Barusia maheni,17,42.768021,17.377062,tf,deep cave,#N/A
109,Špilja kod Nerezinog dola,Croatia,7.4.2007.,2007-04-07,"1 m, 2 f",3,Leptonetidae,Barusia,maheni,Barusia maheni,,42.758378,17.436094,tf,deep cave,#N/A
111,Male ponte,Croatia,9.4.2007.,2007-04-09,1 f,1,Linyphiidae,Palliduphantes,sp. 1,Palliduphantes sp. 1,,42.761389,17.430786,tf,deep cave,#N/A
112,Ostaševica,Croatia,8.4.2007.,2007-04-08,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,220,42.748959,17.544404,tb,deep cave,#N/A
113,Špilja kod Nerezinog dola,Croatia,7.4.2007.,2007-04-07,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,,42.758378,17.436094,tb,deep cave,#N/A
114,Male ponte,Croatia,9.4.2007.,2007-04-09,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,250,42.761389,17.430786,tb,deep cave,#N/A
118,Galičnjak,Croatia,10.4.2007.,2007-04-10,1m,1,Nemesiidae,Nemesia,sp. 1,Nemesia sp. 1,,42.720118,17.67071,,,#N/A
119,Galičnjak,Croatia,14.4.2007.,2007-04-14,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,,42.720118,17.67071,tb,deep cave,#N/A
120,Male ponte,Croatia,9.4.2007.,2007-04-09,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,250,42.761389,17.430786,tb,deep cave,#N/A
122,Movrica,Croatia,8.4.2007.,2007-04-08,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,,42.752604,17.551145,tb,deep cave,#N/A
123,Špilja kod Vrha spile,Croatia,9.4.2007.,2007-04-09,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,,42.776757,17.420591,tb,deep cave,#N/A
124,"Mala špilja, Blato",Croatia,12.4.2007.,2007-04-12,2 juv,2,Dysderidae,Folkia,inermis,Folkia inermis,,42.764498,17.471054,Tb,deep cave,#N/A
