sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
5000,Bezdan,Croatia,30.10.2016.,2016-10-30,3juv,3,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
5002,Bezdan,Croatia,30.10.2016.,2016-10-30,3juv,3,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
5004,Bezdan,Croatia,30.10.2016.,2016-10-30,5juv,5,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
5006,Škrabuljica,Croatia,1.11.2016.,2016-11-01,1juv,1,Dysderidae,Stalagtia,sp. 2,Stalagtia sp. 2,701,42.567.045,18.385.063,Tb,deep cave,,5,,"10,867","12,1378336","12,1378336","24,90799904",1201,29,"102,7796012","97,4",,6,8,1,nan,98,11
5008,Škrabuljica,Croatia,1.11.2016.,2016-11-01,1f,1,Linyphiidae,Troglohyphantes,troglodytes,Troglohyphantes troglodytes,701,42.567.045,18.385.063,tf,deep cave,,5,,"10,867","12,1378336","12,1378336","24,90799904",1201,29,"102,7796012","97,4",,6,8,1,nan,98,11
5009,Jezero,Croatia,1.11.2016.,2016-11-01,1f,1,Linyphiidae,Troglohyphantes,troglodytes,Troglohyphantes troglodytes,964,42.580.381,18.356.073,tf,deep cave,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5010,Bezdan,Croatia,31.10.2016.,2016-10-31,1m,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
5011,Jezero,Croatia,1.11.2016.,2016-11-01,"1f, 2juv",3,Linyphiidae,Troglohyphantes,troglodytes,Troglohyphantes troglodytes,964,42.580.381,18.356.073,tf,deep cave,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5014,Jezero,Croatia,1.11.2016.,2016-11-01,1f,1,Linyphiidae,Troglohyphantes,troglodytes,Troglohyphantes troglodytes,964,42.580.381,18.356.073,tf,deep cave,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5015,Jezero,Croatia,1.11.2016.,2016-11-01,"1m, 2f",3,Linyphiidae,Palliduphantes,sp. X,Palliduphantes sp. X,964,42.580.381,18.356.073,,,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5019,Jezero,Croatia,1.11.2016.,2016-11-01,1f,1,Linyphiidae,Palliduphantes,sp. X,Palliduphantes sp. X,964,42.580.381,18.356.073,,,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5020,Bezdan,Croatia,31.10.2016.,2016-10-31,1f/juv,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,133,42.530.343,18.316.239,Tb,deep cave,,2,,"14,7","16,13833237","16,13833237","24,16666794",1249,23,"112,0435418",,,0.5,0.3,1,nan,12,22
5025,Jezero,Croatia,1.11.2016.,2016-11-01,1?,,Linyphiidae,Troglohyphantes,troglodytes,Troglohyphantes troglodytes,964,42.580.381,18.356.073,tf,deep cave,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
