locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Jama pod križem 1,"0,75","0,5",1,"31,1",6,24
Jama u Kukalinama,2,2,1,"40,5",11,32
Rompotarnica,15,2,1,44,11,39
Jama pod pilanom,"3,5",2,1,15,"5,5","7,5"
Vudrina jama,"2,3","5,4",1,45,35,27
Stražari 1,4,2,1,,12,0
Jama Lovranski lazići 3,10,2,1,,22,53
Jama kod Marine ograde,3,5,1,67,,21
Volarska pećina,"9,5","7,2",1,31,31,0
Dvostruka jama Lemeš II,"1,5","0,8",1,20,14,10
Poležečki,"3,5","0,8",1,"6,7","6,6","0,3"
Jama na Plase,"0,6",1,1,63,20,47
Bausova jama,13,14,1,,"51,4","42,7"
Golubijenka jama,8,8,1,,25,15
Milina špilja,17,17,1,24,19,17
Matešićeva pećina 2,10,"1,8",1,,"9,5","1,6"
Kojići pećina 1,"4,5","1,8",1,,"9,5","0,4"
Jama nasuprot Torka,2,1,1,50,25,24
Yukina špilja,,,1,"6,9","5,8","3,4"
Izvor u Riblju,"3,8","1,5",1,"13,6","13,6",0
Borovčeva jama u Postrani,"0,6","0,4",1,57,17,43
Co to maš,5,5,1,92,20,92
Vine,2,"2,5",1,,16,20
Izvor Sinjac,25,28,1,,415,203
Jama vjetrova,15,12,1,163,163,157
Movrica ,4,11,1,,82,6
Kaverna Škurinje 2,1,"0,5",1,6,4,4
Dlakava nozdrva,4,2,1,98,18,75
Balančica špilja,10,3,1,,"10,8","0,5"
Golubnjača pod Trogrlom jamom,3,9,1,25,25,0
Jama iznad slapa,"0,9","0,3",1,,42,30
Kaverna u Crljenom kuku,14,5,1,,175,"152,5"
Špilja pod Humom,,,1,,,
Vuco 4-1,3,"1,5",1,"16,5","16,5","9,5"
Lucijina jama,"2,5",6,1,44,21,32
Jama kod Turkovića,3,"3,5",1,,26,27
Špilja Zoljin kuk,,,1,12,12,0
Krasovica,"1,2","0,7",1,"10,9","8,4",6
Ozbiljna jama 2,4,2,1,"50,8","19,7","21,6"
Dekleova pećina,5,2,1,,39,44
Banov dolac,13,3,1,84,34,67
Ribarska pećina,10,"2,5",1,10,10,0
Zdenčajka IV,"0,6","0,5",1,,"2,2",9
Ne asocira,"3,5","1,2",1,"6,9","6,6","1,9"
Pećina Nikole Vranjina,"1,5","1,6",1,,,
Suha pećina,4,1,1,,254,2
Jama u Velikom Desajdubu,1,"2,2",1,,"2,3","7,7"
Osinec jama ,1,1,1,,15,"5,5"
Jama na Sv. Iliji,6,5,1,,47,44
"Naša jama SG 3,25","0,5","0,5",1,,"7,5","13,5"
Mazutka,"1,2","1,6",1,21,21,34
Veprinački lazi 1 ,"0,6","0,8",1,,5,"12,5"
Turska jama,"1,5",4,1,"7,5","3,1","6,8"
Spajdermenka,3,"1,8",1,,20,11
Zdjelarova bezdanica,"1,4",4,1,31,14,23
Šipnatica,"2,9","1,7",1,24,14,"12,6"
Prva velika,10,"4,5",1,39,30,50
Uska jama,"0,5",1,1,,3,11
Jama kod Jamina,19,6,1,"56,5","29,6",38
Matića jama,8,9,1,"67,8",17,"57,4"
Gojkova draga,"1,6",1,1,,35,3
Šćokovica,1,"0,5",1,"6,5","5,5","4,5"
Laserska,"1,1","1,5",1,"7,1","3,4","5,7"
Šutina jama II,11,5,1,,38,47
Pećina u Hreljinu,1,"1,5",1,,28,6
Pirišće 1,1,1,1,7,2,6
Sekulićka jama,1,"0,4",1,101,65,65
Na platou ćuprija,37,22,1,159,74,116
Olovkina jama,"3,5",6,1,,"14,5",28
Jama za Piščetom,,,1,,,
Jama na Benkotovu,"1,8","2,5",1,"41,1","17,6","30,2"
Plješina jama-Kolumbo-U3,30,40,1,519,205,181
Špilja na 45 paraleli,1,"0,5",1,21,18,7
Šamarante,30,25,1,,35,43
Prva sportska klaonica,2,"1,5",1,7,3,7
Špilja na Melnici,4,2,1,,11,0
Balvan u rupi,2,1,1,,"7,7","5,4"
Bušljetina pećina,3,"2,3",1,,"20,3","3,7"
Dančeva jama,2,"0,8",1,23,19,13
Zaboravna jama,,,1,,,
Mrča 1 ,"2,5","1,5",1,,"3,5","9,5"
Puzava tropeča,8,5,1,17,13,11
Borovica,1,"0,5",1,32,26,9
Hašiš Brigada,"6,5",10,1,"102,2","47,5","56,5"
Vrnjika,2,"1,1",1,,530,84
Spora jama,2,"8,5",1,,"16,5","22,5"
Jama na Blatini,"6,5","5,7",1,,22,14
Jama u Kaciji,"0,25","0,35",1,56,25,39
Dvostruke jame,8,2,1,"159,4",132,"38,3"
Pljuvačnica,"0,5","0,4",1,70,70,125
Izvor Bakovac,,,1,,,
Ledena siga 2,4,4,1,,18,32
Pećina u Gvozdenovu,1,2,1,,28,7
Sportić,,,1,,,
Deveti život,1,3,1,,22,68
Bužorova jama,"1,9",1,1,42,8,29
Jama kod Sv. Vitala,"0,6","0,8",1,9,7,16
Izvor špilja kod Jurjevića,"1,5",1,1,"12,3","11,7","2,1"
Špilja iznad sela Jelovičani,2,1,1,,49,19
Vertikalača,2,4,1,250,90,162
Jama za Q,"0,5","0,5",1,,"4,5",9
Ponor Pepelarica,7,15,1,1103,724,347
Potresni sezam,1,1,1,208,78,135
Vilina peć,"0,8","1,6",1,12,11,6
Diva neočekivanog prijateljstva,"5,5","1,7",1,47,19,37
Zligorova jama,"3,5","0,8",2,"75,5",34,28
Ošlja jama    ,"12,2","24,2",1,"260,6","125,5",186
Guduća I,5,"1,5",1,8,8,0
Vela špilja u zavoju,"0,7","0,5",1,,37,"4,5"
Divojačka jama,6,4,1,25,9,23
Spilja iznad Skradinskog mosta,5,2,1,38,38,0
Jama na Oštroj glavici,"0,5","0,5",1,76,55,23
Trojama u Jovcu,"2,4","2,8",1,,"43,8","7,6"
Vindija,"18,5","9,5",1,"51,5","50,7","1,1"
Jama Šaraja,"0,7","0,7",1,,7,9
Beba,3,"1,5",1,13,7,"7,5"
Crekvica 3,2,"1,5",1,,9,2
Ljubica,"2,8",8,1,39,"14,9","22,3"
Sirovička špilja,8,3,1,14,13,6
Partizanska jama,"6,5","1,5",1,,26,23
Milovaščica,,,1,"180,6","105,4",107
Stublenka,"0,8","0,7",1,,14,1
Veliki odmor,1,15,1,,20,33
Japaga kraj Ozdrvače,16,4,1,"31,4",19,18
Špilja ispod Griča u Badnju I,"1,8","0,7",1,,7,1
Oz,2,1,1,25,11,21
Periodična izvor špilja u kanjonu delničkog potoka,"1,2",3,1,62,61,3
Smećica,"0,5","0,5",1,"7,2","2,2","6,4"
Truli jarić,"0,5","0,5",1,13,9,6
Batićan 3,"1,5","1,1",1,6,6,1
Špila u Križican,3,6,1,22,16,7
Špilja iznad sela Kuštre,"0,6","0,45",1,"43,5","38,8","4,8"
Minjera,1,"1,6",1,,988,41
Jama na Zalušćici,7,"2,5",1,,9,20
Trooka jama,12,5,1,,65,42
Šuplja stina,5,5,1,30,30,2
El Merlo,"0,5",1,1,11,"3,5",8
Stari ponor,3,9,1,,"18,5","14,7"
Pećina sa Križem,3,"1,5",1,,"8,5","0,5"
Pećinica 1,"2,2",1,1,"5,7","5,6",0
Trokatnica,2,"0,8",2,"8,3","6,3",0
Sadić jama,1,"0,8",1,11,3,"8,5"
Brana 3,"2,5",2,1,"6,4","6,4","0,4"
Cvijetova jama,"1,5",1,1,11,6,10
Židovske kuće,2,1,1,,46,4
Skoro Poputna,3,2,1,"9,5","5,3","7,5"
Varnjača,,,1,,,
Marlena,"5,5","1,3",1,71,"41,5","48,5"
Jama na Remetnoj strani,"0,6","0,5",1,13,3,13
Remetina pećina,3,"3,5",1,17,10,0
Jakina špilja,1,1,1,"15,5",14,6
Plišani lynx,"3,5","9,5",1,45,13,30
Mrtvi puževi,"0,7","0,8",1,17,12,14
Špičasta špillja,1,1,1,"5,2","4,2","2,97"
Ponor Rečice,2,"1,5",1,662,415,235
Špajza pod Velikom gredom,"2,5",2,1,6,"3,2","4,5"
Dupla Kuna,"0,5",2,1,52,18,41
Crikvena 05-1010,"1,5","1,5",1,"17,5",7,"10,5"
Mala špilja u izvoru Bučak,"0,5","1,5",1,"9,5","9,5","1,5"
Krvoločni pusi,5,3,1,"32,5",8,"32,5"
Lajbek jama,6,4,1,12,12,11
Jama pod Makljen vrhom,5,3,1,,39,60
Pećina u Glavici,4,2,1,,40,7
Tiplica,"1,5",2,1,"16,5","10,5",12
Jama Za breg,"0,5","0,5",1,40,8,34
Jama u Orljači,6,"2,4",1,,"10,5","12,5"
Dvogrle,2,1,1,24,18,14
Špilja pod Kapelu,,,1,,,
Podgrobljuša,"2,2","1,5",1,11,11,0
Jama bunar na Škulju,,,1,,,
Bunar jama na Levrnaki,,,1,,,
Mala ledenica,"7,8",4,1,8,8,4
Bliznice 1,8,"1,3",1,40,19,4
Jama uz cestu,8,3,1,19,8,15
Okapač,4,6,1,"57,2","17,9","53,1"
Jama kod križanja,8,2,1,"13,5","11,4","9,3"
Perin pupak,2,5,1,"11,3","8,1",8
Kaverna za anale,"1,1","0,5",1,8,8,4
Golubnjača,7,5,1,,170,63
Fosilovana,"1,8","2,2",1,,"15,1","3,1"
Golubinka u Tišnjanskoj Dubravi,3,8,1,39,31,16
Špilja Miluša,3,4,1,26,"23,5",7
Jama na gomilama,"0,8","0,8",1,31,22,10
Čudna šuma,3,1,1,"28,5",8,25
Bajićeva špilja 2,"3,8",2,1,,"23,5",0
Ledena palača ,3,8,1,,20,52
Limeta,6,4,1,16,10,11
Trangrla pećina,13,7,1,73,62,18
Rolina jama,"1,2",1,1,"50,6",24,37
Delkača,"1,5","0,7",1,9,"7,8","3,4"
Bilulja,2,"2,5",1,17,8,14
Jezero,,,1,,,
Špilja pod Starčević podom,"5,4","2,7",1,12,10,3
Lepava špilja,"2,9","3,7",1,33,30,8
Kaverna na stacionaži 1+637 Vodena,1,2,1,1177,740,5
Pik u jaja,6,10,1,"34,5","38,1","15,4"
Strguljin grad 19,1,"1,5",1,,"5,5",0
Beži jama,5,1,1,11,5,10
Jama puža prevjesara,2,1,1,14,9,7
Jamana,2,1,1,,13,"17,5"
Špejarka 2,"0,5","0,7",1,"5,5","5,5","5,5"
Špilja iznad crkvice Gospe od Luga,2,1,1,43,38,6
Rafaelo,8,4,1,14,5,10
Jama s efektom,1,"1,5",1,"63,8","41,8","21,8"
Hajdinka 2,"1,5","2,2",1,,"4,5","18,5"
Špilja kraj puta za Lom,"3,5",4,1,13,11,6
Ostrmica špilja,"1,5","3,5",1,,"24,5",7
Bunar u uvali Strižnja,,,1,,,
Balvan Revolucija,10,27,1,71,33,34
Dvajst do asa,5,"5,5",1,27,10,21
Solo,6,8,1,60,15,40
Marsovac,"1,3",4,1,8,"7,3","3,4"
Špilja na siparu za šetnicu,6,2,1,11,10,0
Jama u Grabiku,3,2,1,"44,5",21,24
G6,2,1,1,,36,0
Špiljamica,1,1,1,"7,2","5,7","3,9"
Špilja u Kutu,"4,5",3,1,23,"19,8",0
Jama uz cestu,7,5,1,10,7,10
Brunovka,"1,4",1,1,,24,15
Jama 5-6 uboda,"0,8","4,5",1,"44,6","19,4",25
Kosirača,1,1,1,"12,9",5,"11,5"
Jama pod Sokolićem ,6,4,1,,4,12
Likina prva jama,"4,5","6,8",1,28,15,23
Špijaturica,12,8,1,40,"26,5",22
Daždevnjakova bezdanka,"2,5",1,1,25,4,24
Jama na Kestenku,3,2,1,,28,46
Mudrijaška,10,7,1,71,42,58
Bićinska pećina,"3,4",2,1,30,30,8
Gerovčica,5,1,1,,291,20
Kurelčeva jama,"1,8","1,8",1,,"38,5","10,7"
Špilja na Koženjaku,"4,5","1,5",1,"9,4",9,"0,4"
Liluša,4,2,1,,57,12
Malička,2,1,1,8,"3,2","6,3"
Drugi harmonik,1,"0,6",1,40,16,34
Šimunkovića špilja,7,1,1,"22,7","19,9",1
Kozjača ,8,6,1,,72,0
Jama u Starom gaju kod Suknovaca,"0,3","0,5",1,12,2,12
Help!,2,2,1,,8,36
Izvor Kupice,11,"11,5",1,,75,39
Dražina pod Sten,"1,2","0,8",1,8,7,2
Špilja kod izvora Mrežnice,2,"1,5",1,,56,5
Brdarica 3,"2,7","3,5",1,11,"5,5",6
Puhalica kod dalekovoda,"0,5","0,5",1,6,4,6
Gluhanova,"0,5",1,1,50,45,18
Jama Kotluša,,,1,,,
Rom Pećina - Večernja jama,"4,3","15,2",2,135,98,58
Propala perspektiva,3,1,1,11,9,5
Duplja ,"0,6",1,1,,"3,5","8,5"
Špilja 1 u uvali Hodoblja,10,7,1,,55,0
Rikavica,4,8,1,,47,24
Slavkova iskopina,"1,5","0,4",1,59,5,59
Travnička jama,6,7,1,,14,16
Bacestina jama,2,"2,5",1,"48,6","36,2",22
Košnica,"1,5","0,5",1,7,"1,5",6
Đulin ponor-Medvedica,30,20,1,16396,16396,83
Zrinkine gaće,2,10,1,93,65,36
Špaher Agonija,15,20,1,"60,5",33,"29,5"
Jama za Gabrovicu,"0,8",1,1,36,18,24
Jama Nabalamasa,"12,5",18,1,,"34,5",22
Jama na Mahencu 1,"0,5","1,5",1,,11,9
Plitvička devetka,"6,5","2,5",1,21,"6,5",21
Mala propast,1,"0,6",1,,4,15
Aničin ponor,"1,5",1,1,233,186,55
Špilja za romantiku,"3,2","0,9",1,"5,8","5,8","0,9"
Muda labudova,,,1,,,
Grotta Simon,3,8,1,57,36,31
Jama suza,"4,6","1,2",1,,2,29
Jama pod Grabrovicom,4,"1,5",1,,30,20
Golubnjača,5,"3,8",1,,72,20
Hrdovica,"0,9","0,6",1,,30,13
Opremljena jama,1,1,1,20,7,18
Pećina Plovanija,"12,5",15,1,,112,"27,5"
Staje 11,4,2,1,,4,"7,8"
Jama na Strmcu,5,5,1,668,530,84
Jama na Škrilama,3,1,1,,32,54
Kosača ,7,"3,5",1,56,15,46
Krivača špilja,6,3,1,,43,9
Jama s tri škulje,10,8,1,,36,27
"Jama kod Lukine jame br. 15, Mercedes",2,7,1,54,50,54
Kviki,"3,7",3,1,9,4,8
Lipa špilja Kalinovača,8,5,1,16,14,"7,5"
Dobra jama,30,10,1,,135,65
Blind date,"3,9","0,8",1,"16,5","1,9",18
Sopnjača,30,50,1,84,84,32
Spila ol store vloke,8,10,1,17,17,0
Bezdanica,1,"0,5",1,28,5,25
Povuci-potegni,"0,3","1,1",1,"6,5","5,3","2,9"
Jama ispod Unišča ,"12,5","1,5",1,"159,2",68,124
Bobafet,2,"2,5",1,"14,6",4,14
Ofto špilja,5,"0,5",1,"10,7","9,6","3,6"
Jama pod Tihovinje 2,"0,6",2,1,25,17,16
Patuljkova špilja 1-2,"0,5",1,1,"46,1",29,"17,2"
Advent 2,"1,5",4,1,75,35,50
Medvjeđi brlog,1,"0,7",1,,9,8
Kaljuža,"1,9","3,4",1,25,23,11
Rujnica,"0,5","0,5",1,18,16,8
Mala Kranjska pećina,"4,2","2,5",1,28,27,0
Špilja u uvali Predpeć,4,3,1,25,21,4
Jama na Črnikovici,"0,4","0,3",1,,3,"17,5"
Ponor Štirovača,10,2,1,,860,65
Pećina kod Nozreta,"3,5","2,5",1,18,17,9
Prpina jama,1,"0,5",1,35,15,"15,5"
MR2,1,"0,6",1,7,6,3
Špilja Mali Lahol I,3,"2,5",1,,60,10
Propadna jama,1,"0,8",1,62,30,39
Ponor Đorđe,"0,5","1,2",1,6,1,6
Podilljska jama,"1,8","1,8",1,,61,78
Špiljski sustav Miljacka I i Miljacka V,,,1,,,
Spilja kod turske kule 2,2,"0,6",1,"8,8",8,0
Rusovka,"1,2",3,1,56,16,48
Jama za dvije zamke,5,2,1,"102,5",20,79
Banja,"3,5","1,5",1,,27,7
Gorska jama,,,1,,,
Pećina kod Crvenog kuka,3,2,1,6,6,0
Ščukina hiža,1,"1,5",1,10,"7,5","1,2"
Špilja pod Špicom,"1,5",1,1,22,18,3
Brkinova rupa,2,"2,2",1,19,15,10
Jama kod Kalića,6,6,1,66,40,34
Poskokova špilja,2,4,1,"19,6",15,6
Grlić,"0,4","0,8",1,,,"9,3"
Markov ponor,5,7,1,2240,1725,69
Dragića špilja 1,"2,5","1,5",1,,900,64
Pijavica,6,3,1,44,31,"15,5"
Kicljeve jame,,,1,,,
Mala jama pod križem,"0,5","0,8",1,"8,5",5,5
Mandalina,10,8,1,126,124,5
Školjkača,5,1,1,,16,0
Vodarica,,,1,,,
Špilja na Kurozebu,7,"5,6",1,,"52,5","19,5"
Orahova,"2,4","1,3",1,"6,5","5,9","2,6"
Golubinka Kanegra,"3,8","4,5",1,,277,"34,6"
Puževa kućica,"2,9","1,8",1,6,6,"0,9"
Crikvena 14,10,5,1,55,22,55
Špilja kod Točila,"3,1","3,5",1,15,"13,5","6,5"
Jamamajka,"3,5","1,5",1,20,14,"12,5"
Novogodišnja jama,"3,5","1,5",1,,23,39
Debitantica,"0,8",2,1,"29,8","7,4","28,2"
Pećina Prohorce,3,"1,5",1,10,9,0
Čoki proki,"0,5","0,6",1,,8,20
Pećina Valerun,2,1,1,,129,17
Pazi kamen,"1,2",1,1,26,7,26
Hell's ditch 1,3,4,1,,18,14
"Špilja iznad ""mosta""",2,2,1,47,38,10
Jama pod Podjapaguša,4,3,1,,10,15
Jama u selu Kremena,2,1,1,,70,35
Bajićeva špilja 3,2,"0,6",1,,64,2
Tam-Tam,5,8,1,,15,30
Ponor Šterna,1,1,1,"48,3","47,2","3,3"
jama Bodolka,"3,2","1,3",1,15,9,11
Špilja u Donjim Radićima,1,"1,5",1,14,14,6
Špilja kod Brašina-Petrače,,,1,,,
Prčova pećina,2,"0,7",1,148,140,15
Pajina jazavčarka 2,5,"0,5",1,27,15,1
Ne ide pod 90,"1,5","1,5",1,44,16,20
Traverza iznad Sastavaka,"2,2","2,1",1,"13,7","3,5","11,6"
Nikolina spila u Kučićima,,,1,,,
Sumporača velika,1,1,1,,115,2
Golubinka kod Handrake,2,5,1,,"13,5",0
Mala Ćulumova pećina,1,"1,5",1,100,96,2
Hoba,8,"3,5",1,"17,8","13,5","12,2"
Pećina pod Stržen,2,"1,5",1,,73,6
Japaga,10,12,1,"30,6","12,5",20
Srzentuša,,,1,180,180,65
Jama Lazinina,5,5,1,20,13,13
Vilenuša,"3,5",2,1,22,22,4
Pećina kod Brletića 1,4,2,1,,7,0
Druga u danu ,"1,9",5,1,"6,3","5,4",0
Špilja iznad Rudnice II,2,"0,8",1,12,10,"2,5"
Jama u Katićima,3,2,1,,"7,5",14
Jama do PB,7,2,1,"4,5","4,5","11,5"
Pavlovića pećina,5,2,1,21,20,3
Jama poli Lokvicu 1,"0,8","1,7",1,12,4,12
Jama na grebenu Sijaseta,1,2,1,58,43,30
Jama kod Stare pošte,5,"0,5",1,,5,31
Mićina špajza,2,5,1,8,4,7
Jama u Radovnici,3,2,1,39,22,14
Špilja iznad penjališta u Kamanju,4,1,1,6,6,0
Velika pećina u Kličevici,1,"1,5",1,100,100,"7,5"
Jama pseudo škorpiona,1,1,1,22,14,"15,5"
Ishlapila,"1,5","1,2",1,41,"20,5",27
ZV-1,4,2,1,,10,46
Špajza,1,7,1,,9,0
Na ruke,7,2,1,"14,5",6,"7,5"
Jama u Dolčiću,"0,8","0,6",1,,5,12
Špilja kod Orašačkog mola 3,6,9,1,,"23,5",0
Rupa 01,"1,5",2,1,5,5,19
Lovricija II,"0,75",3,1,,37,50
Ponor Brusan,"0,5",1,1,205,125,89
Vodena jama na Kukuljaru,1,1,1,8,8,3
Podmarin,1,"0,6",1,16,15,3
Bulića pećina,,,1,,,
Jama starih papršnjaka,2,8,1,31,18,20
Filipova puhalica,1,"0,8",1,28,12,24
Plitka peć,7,3,1,45,44,2
Sestrice blizanke,4,3,1,157,79,68
Toplička špilja,3,2,1,,10,"1,5"
Medino zrno,"1,5",2,1,"20,4","7,7",17
Duga peć,7,3,1,42,38,"15,5"
Jama na Baljencu,"1,2",2,1,"11,75","4,6","8,5"
Jama Ona,1,"0,7",1,17,7,16
Prnčeva špilja    ,"1,7","1,3",1,"34,3","32,3","6,6"
Gornja Barićeva špilja,,,1,268,254,2
Jamošpilja,"1,2",2,1,16,15,7
Jelenko,7,10,1,"97,7","47,5","69,3"
Drobovnik,2,"1,7",1,673,671,2
Jama na vrtlu u Biljevini,1,"1,5",1,21,9,17
Jelenska jama,15,"7,5",1,98,35,83
Puno beda,5,8,1,,47,105
4 bužira,"3,5",2,1,16,"7,5","11,5"
Velika špilja kod Antunovića,30,6,1,265,253,14
Vazmineš jama,7,"3,5",1,"18,4",7,"14,6"
Pećina kod Velog briga,"3,5","4,5",1,29,16,16
G3,"0,5","0,7",1,"23,5","2,5",23
Zlošilo,1,"0,8",1,5,5,3
Sojkina jama,1,1,1,69,27,47
Nekrštena spilja,"0,7","0,8",1,7,5,4
Vela peć,,,1,,,
Ponor na Sjauševcu,27,3,1,,45,95
Tri dana,16,4,1,60,"20,5","39,5"
Ajdučka peć na Aptovini,3,2,1,25,24,2
Jama u Malom Gračišću I,,,1,,,
Jama na Četinarici,4,25,1,,65,106
Markova jama kod Tara,2,4,1,,291,82
Špijunka,3,6,1,48,30,23
Golubova špilja,4,6,1,,,
Jama sa strane,6,"2,6",1,,22,37
Jama kod Sankovića,15,10,1,,48,40
Čokolinda,1,"0,5",1,10,1,10
Strguljin grad 3,2,1,1,,3,23
Belščica,"1,3","0,3",1,10,10,0
Ponor u Dnu,"0,8","1,5",1,28,21,"7,5"
Petrović za 3,8,4,1,78,33,58
Špilja na rtu Frkanj,3,"3,5",1,"23,1",20,"4,8"
Golubnjača iznad Surli,8,4,1,84,32,62
Štojsova jama 1,1,1,1,"8,5",2,4
Pećina u usjeku,1,1,1,,73,5
Žukno,5,2,1,410,378,41
Golubnjača,,,1,,,
Keranova golubinka,,,1,,,
Štemerica,10,2,1,156,58,106
Špilja u Gornjem lugu,8,"1,5",1,,"27,5",7
Pećina u Brajkovoj stijeni,"1,4","1,3",1,,17,"1,6"
Plava jaja,"3,8","4,6",1,,"4,6",7
Donji ponor,4,3,1,18,"10,5","11,5"
Jama Japa Jama,15,5,1,,32,69
Hanžekova jama,"0,3","0,4",1,,25,"25,5"
ZV-2,14,5,1,,20,18
Jama na Balinovcu,4,3,1,30,9,25
Nazovi je bogati,2,1,1,"97,3","60,6",47
Mucića ledenica,5,4,1,,60,"37,5"
Radetina velika špilja,1,"0,5",1,,"40,4","16,8"
Antulina jama,"0,5","1,5",1,12,8,10
Pećina pod Sokolićem,2,2,1,,36,10
Vranjača na Stražbenici,20,10,1,228,186,80
Jadnica,"4,5",3,1,22,18,12
Jama Međugrađen,"0,5","0,5",1,,30,"102,6"
Mlohava špilja 2,3,2,1,"14,5","13,9",2
Panos 2,1,"1,5",1,38,22,19
Truba,4,"7,6",1,"13,7","8,6",8
Golubinka na brdu Trovro,2,"1,5",1,58,28,36
Jama kod durexane,1,1,1,,9,17
Sadina,3,6,1,77,8,73
Jama više vinograda,"0,8",2,1,14,"6,5","10,5"
Veli Badanj,"6,4",6,1,169,148,63
Pirišće 2,1,1,1,20,4,19
Jama u Krogu,20,15,1,,130,93
Špilja u Zubu Buljme,5,5,1,,250,0
Kostelčeva špilja,3,2,1,,44,0
Kontakt most,12,7,1,74,47,22
Ledenica u Čudinoj uvali,"12,5","3,3",1,129,"49,5","49,5"
Profundica,8,15,1,43,"35,9","17,9"
Jama na Solinskom vrhu,5,5,1,"78,7","52,8","24,4"
Dvogrla nad Rastovcem,"2,7","1,7",1,25,18,17
Tavnica,1,1,1,,105,29
Jama pod pritiskom,5,6,1,"13,4",5,9
Jamica u Rudinama 2,"0,6","0,4",1,,6,4
Ponor Bazuje,6,5,1,43,41,8
Bazgovača,5,7,1,,47,32
Ledenica Gnus,14,10,1,,12,18
Jama u slojevima,3,3,1,19,15,11
Zemunica pod Orajem,8,4,1,,21,"0,6"
Samograd,2,"1,5",1,114,82,43
LMF,"0,6","0,5",1,16,8,11
Jama u Županovom dolu ,4,12,1,28,14,18
Cimuša,5,2,1,"16,7","10,9","6,8"
Roger spreman,4,3,1,141,83,34
Jamina,"4,5",7,1,65,15,59
Skočibaricina špilja,"0,7","0,5",1,11,"10,3","1,7"
Crikvena 8,,,1,,,
Jama kitnjaća ,6,"8,5",1,"42,2",22,29
Zingarela 2,"2,6","1,4",1,11,11,"0,3"
Velika pećina,,,1,,,
G8,3,3,1,,40,9
Keranova jama,1,2,1,38,20,23
Fantomska jama,10,11,1,545,545,477
Tri točkice I,6,"2,5",1,"11,8","7,2","9,4"
Albanka,"0,5","0,3",1,17,"9,5","8,5"
Tri sobe,2,"1,5",1,23,23,3
Izvor špilja Gojak,,,1,,,
Heliodrom K.,"0,5","0,5",1,50,22,40
Slučajnica,"2,7","0,8",1,"5,5","5,7","5,5"
Lešani konop,45,35,1,"129,1",55,93
Dvocjevka jama,"7,5",2,1,18,12,10
Motivirajuča jama ,"3,5",9,1,"46,2",20,36
Depadansa,"0,7",2,1,10,5,7
Jama do Brižne salamandre,5,5,1,,10,24
Poskokova rupa,,,1,,,
Bršljanovica,"0,7","0,5",1,24,5,"22,5"
Teslić,1,1,1,25,7,24
Cerovačke špilje,,,1,,,
Put za Katmandu,1,2,1,145,"19,7",113
Brlog,2,"0,9",1,11,"10,5","2,5"
Golubinka,,,1,,,
Jama na Lužini 1,"4,5",6,1,,8,9
Izvor Zvir,24,24,1,96,65,53
Jama od policajca,3,2,1,,2,14
Jama Lastine,"2,4",1,1,19,15,8
Prva jama,3,10,1,70,10,47
Gnojinica,"0,9","0,5",1,,180,190
Rubinićeva spilja 1,1,1,1,13,12,1
Jama u Janjilu,3,"1,5",1,21,16,7
Kuštrovka,8,3,1,,315,50
Špilja u uvali Podrope,"1,5",2,1,45,,17
Palovac,12,8,2,37,34,14
Jarebika,2,"3,5",1,102,43,"53,3"
Špilja podno Manojlovačkog slapa ,"3,5",2,1,9,9,0
Jelenko,4,4,1,"34,3",22,"13,5"
Špilja na Čeinaku,"3,2","0,5",1,29,21,16
Jama kod aviona,4,2,1,,18,48
Jama pod Plećom,"0,6","0,6",1,16,5,14
Fuj pauk,"0,5","0,5",1,7,1,6
Naopako uže,"0,7","0,6",1,10,5,5
Dvi ćikare,1,1,1,"24,5",4,21
Pegula,"3,5","5,5",1,12,12,43
Velika pećina,,,1,12,12,0
Mali Kozjak,"0,5",2,1,"55,5",9,54
Jamica pod Stržen,"2,5",2,1,,"3,5",6
Veno,7,5,1,35,12,35
Sedrena špilja kod stola,1,1,1,,21,2
Jama pod istočnom stijenom,,,1,,,
Jama Ravni,3,3,1,20,7,14
Jama Pećica,3,8,1,46,43,45
Jama kod Matešića stana,,,1,,,
DG3,4,2,1,15,10,8
Jama u Plehotima,10,10,1,,55,99
Krjava 2,,,1,,,
Krumpova jama,3,4,1,,13,30
Izvor Klokun,"1,5","0,8",1,31,"12,5",17
Jama Bezdanka,16,14,1,,22,38
Polušpilja pod izvorom Bijele vode,29,10,1,10,10,0
Kihalica kod Čićave,2,2,1,33,9,30
Sniježnica u Biljevini,"8,2","9,5",1,111,"28,9",37
Rođendanska,"1,8",1,1,"12,5","11,5","4,5"
Batićan,5,4,1,"10,5","10,4","0,5"
Jama kod Trogrla,4,"1,5",1,52,20,38
Palle Retard,"0,8",1,1,128,72,55
Probavne tegobe opremača,3,5,1,114,50,80
Jama u kamenolomu Mrzlo polje,"1,2","0,5",1,,"74,5","29,5"
Jatara,15,15,1,,115,19
Ruđerov debilfer,2,1,1,"13,7","9,8","7,5"
Dvostruka jama Lemeš I,"1,3","1,3",1,32,17,19
Zimnica,"0,9","1,5",1,"9,2","4,5","6,3"
Skandališta,"4,5",4,3,60,26,0
Matekova špilja 2,"3,5",4,1,,14,0
