locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Jama na Vrtlinama,,,1,,,
Izvor špilja kod Trupković mlina,,,1,,,
Jama u konobici,"1,5",2,1,,22,55
Pećina kod Vrila,2,3,1,19,19,1
Sovino pero,"4,4","4,6",1,16,9,10
Ossin grob,"5,7","3,8",1,10,6,"6,5"
Materina jama,1,"0,7",1,25,13,10
Jama u rubu,"1,5","0,7",1,,13,20
Velika špilja,2,2,1,,20,4
Lounge bar,3,4,1,82,36,66
Vučija špilja,"0,8",,1,"7,5","7,5",0
Stara ledenica,6,13,1,46,25,26
Tučepska peć,6,4,1,"7,5","7,5",2
Velika i Mala Golubinka,"3,5",5,2,160,,37
Jama Treća sreća,,,1,,,
Prozor mora pasti,8,8,1,,9,25
Jama 13,"0,6","0,4",1,,3,"10,5"
Autobusna spilja,1,"0,5",1,,11,6
Tihinja špilja,"1,5",1,1,20,16,11
Ilasova jama,2,1,1,12,6,9
Špilja na Danića kosi,3,"1,8",1,,81,22
Bušnja,"1,5","2,5",1,"9,1","8,3",0
Poskok,40,40,1,260,60,161
Usko Grlo,"0,5","0,5",1,30,15,20
Mala Mračnjača,4,"3,5",1,"21,5",20,1
Babinjak,"4,5",13,1,217,49,168
Kriki,1,2,1,10,"1,2","9,9"
Stražari 2,5,"2,5",1,,8,1
Šandalja II,,,1,,,
Jama s puževima,"4,5",1,1,48,11,"30,4"
Tri para čarapa,1,4,1,26,13,8
Jama odustaše,5,3,1,,30,37
Špilja u Bilopolju 2,4,"2,7",1,24,20,10
Jama u Panićima,2,1,1,,5,2
Jama kod Kazerne,6,2,1,"58,5","28,5",29
Špilja kod Stare Sušice,2,1,1,,414,103
Podčopalj pećina ,9,2,1,,25,2
Frašće,"6,5","1,8",1,,127,15
Jama Niska,"0,7","0,8",1,"5,5","1,6","5,2"
Štrikinica,"1,5",3,1,,85,4
Pećina pod Gradišće 1 ,5,"2,5",1,,11,0
Kapljuvača,,,1,,,
Vantova jama,,,1,,45,76
Šuplika,8,5,1,,"34,5",25
Osna špilja,"1,5",1,1,8,7,0
Špilja kod Antunovića,2,1,1,,12,4
Noćna,1,"0,5",1,9,7,"3,5"
Pseudo Kvačica,2,5,1,54,26,24
Jama na Brekalcima,12,3,1,,20,"77,5"
Izgubljeni Mobitel,6,4,1,24,12,12
Pećina poli vrtića,,,1,,,
Izvor špilja Senovac,,,1,,,
Duškova jama,"0,6","1,6",1,16,"8,5",9
Gligina pećina,,,1,,,
Mala pećina u gredi,2,2,1,6,6,1
Munižaba,35,30,1,9911,8080,510
Mala od logora,4,"1,5",1,"7,5","6,7","3,3"
Kremenje,"3,5",2,1,23,17,10
Markova špilja,1,"1,5",1,,177,14
Valens,3,1,1,36,25,18
Javorska 2,7,3,1,"296,7","45,6",215
Šimanova jama 2,"1,2","1,5",1,27,9,20
Špilja Medovac,1,1,1,16,15,3
Špilja pod Ivana križom,1,1,1,23,23,6
Jama na Ložanjku,4,3,1,,15,10
Špilja pod Nećvenom,2,2,1,11,11,0
Ivančeva pećina,"5,7","3,9",1,,"21,5","9,7"
Žute Pole,1,1,1,"40,2","25,3","19,5"
Baksuz 2,"4,4","2,8",1,9,5,8
Jama u Komarima,5,12,1,79,23,68
Špilja na Kuča gori,"2,7","1,6",1,"5,3","5,3",0
Saksofon,"0,8","2,2",1,"9,1","2,9","7,7"
Drvena Marija,9,6,1,28,12,13
Kojići pećina 3,"0,7",1,1,,7,1
Predpećca pećina ,"11,5","3,2",1,19,"18,8",0
Drive by,2,1,1,"5,6","5,6","2,3"
Mornarička pećina,7,2,1,,147,10
Ponor u Čerinama,5,1,1,255,245,31
Zelena,2,4,1,17,7,"11,5"
Debele čonte,6,3,1,32,25,13
Poskokova jama,"1,5","0,7",1,"7,8",4,"6,6"
Dračeva jama,4,2,1,65,42,35
Bezdanka,,,1,,,
Špilja Komaruša,1,"1,5",1,36,31,12
Pećina pod Štikovicom,"0,8","0,5",1,,18,8
Špilja kod tunela Prezid,13,"3,5",1,"16,4",16,"2,2"
Čupeljeva jama,1,1,1,,6,56
Blitvica,,,1,,,
Jama u vrtači,"0,5","0,3",1,16,9,14
Špilja kod Radočaja,"0,5",1,1,,19,"8,5"
Vrtilica,1,1,1,"10,5",4,9
Špilja u rasjednoj liniji kod ponora Pregon,"1,5",10,1,,10,7
Čavljerica,"0,45","0,8",1,"5,1","3,8",0
Jama bez spita,"1,5","0,8",1,60,8,55
Špilja na Grivinom Brijegu,"1,5",1,1,"35,2","30,5","13,6"
Oj mjeseče zvijezdo sjajna,4,2,1,13,6,10
Vilena jama,2,4,1,23,15,11
Who's walking ovdje?,"0,8","2,2",1,8,"3,5",5
Galerija,1,1,1,13,10,4
Jama na Brdskoj gori,1,"1,4",1,,"12,3","7,7"
Ledenica u Štirovači,3,4,1,,351,36
Brekuja,8,3,1,68,26,"56,5"
Vodena jama,,,1,,,
Ravninska,"1,2","2,5",1,6,"5,4","1,6"
Jama u Vrtima,"0,5","0,4",1,,"2,5",6
Motel kaverna,"0,9","0,7",1,,18,"8,1"
Špilja četiri psa,2,"1,6",1,,54,10
Jama pod pritiskom 2,7,4,1,12,5,6
Ponor Perušić,1,"0,8",1,,8,33
Špilja kraj potoka Zala 2,2,2,1,,22,10
Baraćevac izvor,"2,7",1,1,56,56,2
Jama Obor,3,"1,5",1,,35,124
Krajcerova špilja,"0,5","1,3",1,,"9,5",2
Jama kod Jurina žljeba,6,8,1,27,12,23
B 18,"2,5","4,5",1,,6,"16,3"
Morska jama u uvali male Vrulje,2,"1,5",1,34,4,34
Tounjčica,,,1,,,
Jama pod Vošcem,2,2,1,35,22,7
Šalinovića jama,1,"0,5",1,"11,5",10,"6,5"
Barišinska jama,1,"1,8",1,14,5,11
Mala Siničića špilja,,,1,,,
Gornja špilja pod Drniškom gradinom,"2,4","2,4",2,23,22,4
Nuda,4,"1,5",1,121,118,9
Jaruga,5,1,1,28,"17,4",11
Vilnica,2,4,1,"11,3",10,4
Prevara,3,"1,5",1,20,9,9
Jama u ogradi,3,"0,7",1,6,5,5
Murija,5,15,1,68,65,23
Sumporača mala,1,1,1,,37,1
Izvor špilja kod bunkera,,,1,,,
Špilja CKKPJ,5,3,1,12,12,0
Potkornjakova jama,15,2,1,"65,3","39,8","31,4"
Zaboravi da postoji,"0,5","0,6",1,19,6,14
Kumova jama,14,22,1,,34,22
Jama kod Kasunića,,,1,,,
Jama s pločicom,"5,5","3,3",1,40,18,33
Dančeva pećina,24,2,1,30,24,0
Pećina na Brini,1,2,1,5,5,0
Jama iznad Vranjske drage ,"0,8","0,8",1,,15,35
Vilina komorica,"0,8","1,5",1,"6,9","6,6",0
Jama na Kunfinu,"2,4","1,8",1,,10,14
