sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature;deepest air temperature;média temperature
2102;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juv m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;;9,967
2102;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juv m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;;11,2
2102;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juv m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;10,6;11,025
2103;Spila 2;Croatia;26.3.2003.;2003-03-26;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;516;4 326 239;17 204 021;Tb;deep cave;432 623 917 204 021;6;;12;12
2104;?avlenova?a;Croatia;18.6.2002.;2002-06-18;1 juv;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;1460;43 334 228;17 040 746;tb;deep cave;4 333 422 817 040 740;1;;;
2105;Spila 2;Croatia;23.3.2004.;2004-03-23;2 juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;516;4 326 239;17 204 021;Tb;deep cave;432 623 917 204 021;6;;12;12
2107;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;2m, 1f;3;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;10,1
2107;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;2m, 1f;3;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;11,4
2108;Vlastelinka jama;Croatia;26.3.2003.;2003-03-26;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;410;43 269 635;17 211 206;Tf;deep cave;4 326 963 517 211 200;2;;;11,4
2109;Jamina, Biokovo;Croatia;22.11.2005.;2005-11-22;3f, 1 juv m, 1 juv;5;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2111;Golubnja?a, Bartulovi?i;Croatia;23.3.2003.;2003-03-23;2 juv;2;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;;43 408 559;16 942 035;tb;deep cave;4 340 855 916 942 030;2;;;
2112;Jama na Saran?u;Croatia;25.3.2003.;2003-03-25;1m, 1 juv;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 247 108;17 176 093;Tf;deep cave;4 324 710 817 176 090;4;;;
2114;Kukor;Croatia;23.9.1999.;1999-09-23;1 juv;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2117;Jama u Bratušu;Croatia;27.10.2006.;2006-10-27;2m, 1f, 1 juv;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 328 376;16 979 405;Tf;deep cave;4 332 837 616 979 400;4;;12,5;13,15
2118;Jujnovi?a špilja;Croatia;27.4.2002.;2002-04-27;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;405;43 266 579;1 719 798;Tb;deep cave;432 665 791 719 798;6;;;10,35
2118;Jujnovi?a špilja;Croatia;27.4.2002.;2002-04-27;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;405;43 266 579;1 719 798;Tb;deep cave;432 665 791 719 798;6;;13,8;11,35
2119;Pružina špilja;Croatia;29.10.2003.;2003-10-29;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;519;43 394 238;17 058 713;Tb;deep cave;4 339 423 817 058 710;4;;;11,9
2120;?uli?a jama;Croatia;26-10.2003.;2003-10-26;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;1029;43 395 082;16 950 762;Tb;deep cave;4 339 508 216 950 760;2;;;
2123;Jama za Supinom;Croatia;26.5.2004.;2004-05-26;1m, 2f, 1 juv;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;10,1
2123;Jama za Supinom;Croatia;26.5.2004.;2004-05-26;1m, 2f, 1 juv;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;11,4
2131;Svetica;Croatia;25.10.2003.;2003-10-25;1m, 2 juv;3;Amaurobidae;Amaurobius;erberi;Amaurobius erberi;300;43 401 143;16 894 548;Tx;deep cave;4 340 114 316 894 540;5;;;
2133;Polušpilja iza ku?e u Bastu;Croatia;18.8.1998.;1998-08-18;1 juv/f;1;Scytodidae;Scytodes;thoracica;Scytodes thoracica;285;43 354 924;16 982 503;Tx;;4 335 492 416 982 500;3;;;
2142;Ga?ina jama;Croatia;15.10.2002.;2002-10-15;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;591;43 401 743;17 058 436;Tb;deep cave;4 340 174 317 058 430;3;;;
2146;Male spile;Croatia;29.10.2003.;2003-10-29;1m;1;Scytodidae;Scytodes;thoracica;Scytodes thoracica;790;43 369 039;16 955 554;Tx;;4 336 903 916 955 550;1;;;11,4
2147;Pasji manastir;Croatia;2.3.2004.;2004-03-02;1 juv/f;1;Scytodidae;Scytodes;thoracica;Scytodes thoracica;712;43 367 864;16 970 923;Tx;;4 336 786 416 970 920;2;;;
